Temperature,Humidity,Pressure,UV index,Conclusion
66.0,83.0,30.01,0,Mostly Cloudy
64.0,88.0,30.04,0,Mostly Cloudy
64.0,88.0,30.04,0,Mostly Cloudy
64.0,88.0,30.04,0,Mostly Cloudy
66.0,78.0,30.04,0,Mostly Cloudy
66.0,78.0,30.04,1,Mostly Cloudy
66.0,78.0,30.04,1,Mostly Cloudy
66.0,78.0,30.07,1,Mostly Cloudy
68.0,73.0,30.07,1,Mostly Cloudy
68.0,73.0,30.07,2,Mostly Cloudy
68.0,73.0,30.07,2,Mostly Cloudy
68.0,73.0,30.07,3,Mostly Cloudy
68.0,73.0,30.07,4,Mostly Cloudy
68.0,73.0,30.07,4,Mostly Cloudy
72.0,64.0,30.07,5,Mostly Cloudy
72.0,69.0,30.04,5,Mostly Cloudy
72.0,64.0,30.04,5,Mostly Cloudy
72.0,64.0,30.01,5,Mostly Cloudy
73.0,61.0,29.98,5,Mostly Cloudy
72.0,60.0,29.98,4,Mostly Cloudy
70.0,64.0,29.98,4,Mostly Cloudy
70.0,64.0,29.98,3,Mostly Cloudy
70.0,64.0,29.98,2,Mostly Cloudy
70.0,64.0,29.98,2,Mostly Cloudy
70.0,64.0,30.01,1,Mostly Cloudy
70.0,64.0,30.01,1,Mostly Cloudy
68.0,68.0,30.04,1,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.07,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
66.0,73.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
68.0,68.0,30.04,0,Mostly Cloudy
66.0,73.0,30.04,0,Mostly Cloudy
66.0,73.0,30.04,0,Mostly Cloudy
66.0,68.0,30.04,0,Mostly Cloudy
66.0,68.0,30.07,0,Partly Cloudy
66.0,73.0,30.07,1,Partly Cloudy
66.0,73.0,30.07,1,Partly Cloudy
70.0,64.0,30.1,1,Partly Cloudy
72.0,60.0,30.1,1,Partly Cloudy
70.0,64.0,30.1,2,Mostly Cloudy
70.0,64.0,30.1,2,Mostly Cloudy
70.0,64.0,30.1,3,Mostly Cloudy
70.0,64.0,30.1,4,Mostly Cloudy
73.0,61.0,30.1,6,Partly Cloudy
73.0,57.0,30.07,6,Partly Cloudy
73.0,57.0,30.07,8,Fair
73.0,61.0,30.04,8,Fair
73.0,53.0,30.04,8,Fair
72.0,60.0,30.01,7,Fair
70.0,64.0,30.01,5,Partly Cloudy
70.0,60.0,30.01,4,Mostly Cloudy
70.0,60.0,30.01,3,Mostly Cloudy
70.0,60.0,30.01,2,Mostly Cloudy
70.0,60.0,30.01,2,Partly Cloudy
70.0,60.0,30.04,1,Partly Cloudy
68.0,64.0,30.04,1,Partly Cloudy
68.0,64.0,30.04,1,Partly Cloudy
66.0,68.0,30.04,0,Partly Cloudy
66.0,68.0,30.07,0,Partly Cloudy
66.0,68.0,30.07,0,Mostly Cloudy
66.0,68.0,30.07,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,68.0,30.1,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.07,0,Mostly Cloudy
66.0,73.0,30.1,0,Mostly Cloudy
66.0,73.0,30.1,0,Mostly Cloudy
66.0,73.0,30.1,0,Mostly Cloudy
66.0,73.0,30.13,1,Mostly Cloudy
66.0,68.0,30.13,1,Mostly Cloudy
66.0,73.0,30.15,1,Mostly Cloudy
68.0,68.0,30.15,1,Mostly Cloudy
68.0,64.0,30.18,2,Mostly Cloudy
70.0,64.0,30.15,2,Mostly Cloudy
68.0,68.0,30.18,3,Mostly Cloudy
70.0,64.0,30.15,4,Mostly Cloudy
70.0,64.0,30.15,4,Mostly Cloudy
70.0,64.0,30.15,5,Mostly Cloudy
72.0,57.0,30.13,5,Mostly Cloudy
70.0,64.0,30.13,5,Mostly Cloudy
70.0,60.0,30.1,5,Mostly Cloudy
68.0,64.0,30.1,5,Mostly Cloudy
70.0,60.0,30.07,4,Mostly Cloudy
70.0,60.0,30.07,4,Mostly Cloudy
72.0,57.0,30.04,3,Mostly Cloudy
70.0,56.0,30.07,2,Mostly Cloudy
70.0,60.0,30.07,2,Partly Cloudy
70.0,60.0,30.07,1,Partly Cloudy
68.0,64.0,30.07,1,Partly Cloudy
66.0,68.0,30.07,1,Partly Cloudy
66.0,64.0,30.1,0,Mostly Cloudy
66.0,64.0,30.1,0,Mostly Cloudy
66.0,64.0,30.1,0,Mostly Cloudy
66.0,64.0,30.1,0,Mostly Cloudy
66.0,64.0,30.1,0,Mostly Cloudy
66.0,64.0,30.13,0,Mostly Cloudy
64.0,68.0,30.13,0,Partly Cloudy
64.0,68.0,30.13,0,Partly Cloudy
64.0,68.0,30.13,0,Partly Cloudy
