Temperature,Humidity,Pressure,UV index,Conclusion
61.0,94.0,30.15,0,Cloudy
61.0,94.0,30.15,0,Cloudy
61.0,94.0,30.15,0,Cloudy
61.0,94.0,30.12,0,Cloudy
61.0,94.0,30.12,0,Cloudy
61.0,94.0,30.12,0,Cloudy
61.0,94.0,30.12,0,Cloudy
61.0,88.0,30.12,0,Cloudy
61.0,88.0,30.12,0,Cloudy
61.0,88.0,30.12,0,Cloudy
61.0,88.0,30.15,0,Cloudy
63.0,77.0,30.15,1,Cloudy
63.0,77.0,30.15,1,Cloudy
63.0,77.0,30.18,1,Cloudy
63.0,82.0,30.18,1,Cloudy
64.0,77.0,30.21,2,Mostly Cloudy
63.0,82.0,30.21,2,Mostly Cloudy
64.0,77.0,30.21,3,Mostly Cloudy
66.0,73.0,30.21,4,Mostly Cloudy
66.0,73.0,30.21,4,Mostly Cloudy
66.0,73.0,30.18,5,Mostly Cloudy
66.0,73.0,30.18,5,Mostly Cloudy
66.0,73.0,30.15,5,Mostly Cloudy
66.0,73.0,30.15,5,Mostly Cloudy
66.0,73.0,30.12,5,Mostly Cloudy
66.0,78.0,30.09,4,Mostly Cloudy
66.0,78.0,30.09,4,Mostly Cloudy
66.0,78.0,30.09,3,Mostly Cloudy
66.0,73.0,30.09,2,Mostly Cloudy
66.0,78.0,30.09,2,Mostly Cloudy
66.0,73.0,30.09,1,Mostly Cloudy
66.0,73.0,30.09,1,Mostly Cloudy
66.0,73.0,30.09,1,Mostly Cloudy
66.0,78.0,30.09,1,Mostly Cloudy
64.0,83.0,30.09,0,Mostly Cloudy
63.0,88.0,30.12,0,Mostly Cloudy
63.0,88.0,30.12,0,Mostly Cloudy
63.0,82.0,30.12,0,Mostly Cloudy
63.0,88.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.15,0,Mostly Cloudy
63.0,82.0,30.12,0,Mostly Cloudy
63.0,82.0,30.12,0,Mostly Cloudy
63.0,82.0,30.12,0,Mostly Cloudy
63.0,77.0,30.12,0,Mostly Cloudy
61.0,82.0,30.12,0,Mostly Cloudy
63.0,77.0,30.12,0,Mostly Cloudy
63.0,82.0,30.12,0,Mostly Cloudy
61.0,82.0,30.12,0,Mostly Cloudy
61.0,88.0,30.12,0,Mostly Cloudy
61.0,88.0,30.15,0,Mostly Cloudy
61.0,88.0,30.15,0,Mostly Cloudy
61.0,88.0,30.15,1,Mostly Cloudy
61.0,88.0,30.15,1,Mostly Cloudy
61.0,88.0,30.15,1,Mostly Cloudy
63.0,82.0,30.18,1,Mostly Cloudy
64.0,77.0,30.18,2,Mostly Cloudy
64.0,77.0,30.21,2,Mostly Cloudy
64.0,83.0,30.21,3,Mostly Cloudy
66.0,78.0,30.21,4,Mostly Cloudy
66.0,78.0,30.18,4,Mostly Cloudy
70.0,68.0,30.18,5,Mostly Cloudy
72.0,69.0,30.15,5,Mostly Cloudy
70.0,68.0,30.15,6,Partly Cloudy
72.0,69.0,30.12,6,Partly Cloudy
72.0,69.0,30.12,5,Partly Cloudy
70.0,68.0,30.09,5,Partly Cloudy
68.0,78.0,30.09,4,Light Rain
68.0,78.0,30.09,3,Partly Cloudy
70.0,73.0,30.09,2,Partly Cloudy
70.0,73.0,30.102857142857143,1,Partly Cloudy
68.0,78.0,30.12,1,Partly Cloudy
68.0,78.0,30.12,1,Partly Cloudy
66.0,83.0,30.12,1,Partly Cloudy
66.0,83.0,30.12,0,Partly Cloudy
64.0,94.0,30.12,0,Partly Cloudy
63.0,94.0,30.12,0,Partly Cloudy
64.0,88.0,30.12,0,Partly Cloudy
63.0,94.0,30.15,0,Partly Cloudy
